Category,Marker,gender,Short,Units,Clinical Range,CELLUIQ Range,If Low (Symptoms),If High (Symptoms),Supplement (Low),Dosage (Low),Preferred Form (Low),Mechanism (Low),Supplement (High),Dosage (High),Preferred Form (High),Mechanism (High),Food (Low),Food (High),Medication (Low),Dosage (Med Low),Preferred Form (Med Low),Medication (High),Dosage (Med High),Preferred Form (Med High),Lifestyle (Low),Lifestyle (High),Warnings (Low),Warnings (High),Studies (with links),
Adrenal,Cortisol AM,male,Cort AM,µg/dL,6-23,15-20,"Adrenal insufficiency: fatigue, hypotension.","Chronic stress/Cushing's: weight gain, insomnia.",Phosphatidylserine,300 mg/day,Soy-free,Reduces cortisol response to stress.,Ashwagandha,600 mg/day,KSM-66,Adaptogen lowering cortisol via HPA axis.,Citrus,Berries,Hydrocortisone,5-20 mg/day,Oral tablet,Metyrapone,500 mg/day,Oral tablet,Meditation,Avoid evening HIIT,Phosphatidylserine: drowsiness,Ashwagandha: thyroid interaction,CORT 2024 PubMed; Ashwagandha meta PMC,CORT 2024 PubMed; Ashwagandha met...
Adrenal,Cortisol PM,male,Cort PM,µg/dL,2-9,<5,Similar to AM low.,Similar to AM high.,Rhodiola,200 mg/day,Extract,Normalizes evening cortisol.,Ashwagandha,600 mg/day,KSM-66,Reduces late-day stress response.,Chamomile tea,Green tea,Hydrocortisone,Low dose evening,Oral tablet,Metyrapone,500 mg/day,Oral tablet,Blue light blockers,Stress reduction,Rhodiola: insomnia if late,Ashwagandha: GI upset,Sleep studies PubMed,
Adrenal,ACTH,male,ACTH,pg/mL,7-50,10-30,Addison's disease.,Cushing's syndrome.,Licorice Root,500 mg/day,Extract,Stimulates adrenal function.,Ketoconazole,200 mg/day,Oral tablet,"Inhibits cortisol synthesis, reducing ACTH feedback.",Adrenal-supporting herbs like ginseng,Low-salt diet,Hydrocortisone,5-20 mg/day,Oral tablet,Ketoconazole,200 mg/day,Oral tablet,Adequate sleep,Avoid overtraining,Licorice: hypertension,Ketoconazole: liver toxicity,Pituitary marker PMC,
Amino Acids,Valine,male,Val,µmol/L,150-300,200-250,"Muscle weakness, fatigue, poor recovery",Rare; metabolic disorders,BCAA,5 g/day,Powder,Muscle recovery.,L-Carnitine,1-2 g/day,Acetyl-L-carnitine,Balances amino acid metabolism,Meat,Limit high-protein if overloaded,None standard,N/A,N/A,Metabolic modulators like metformin,500 mg/day,Oral,Resistance training,Balanced diet,BCAA: GI upset in excess,Carnitine: nausea,2025 PubMed,
Amino Acids,Leucine,male,Leu,µmol/L,80-200,100-150,"Reduced muscle synthesis, fatigue",Rare; insulin resistance risk,BCAA,5 g/day,Powder,mTOR activation for muscle.,L-Glutamine,5 g/day,Powder,Reduces excess BCAA catabolism,Meat,Vegetables to balance,None,N/A,N/A,Insulin sensitizers,Varies,Oral,Weight lifting,Moderate protein intake,BCAA: over 10g GI issues,Glutamine: bloating,Studies 2025 PMC,
Amino Acids,Isoleucine,male,Ile,µmol/L,40-100,50-80,"Energy depletion, weakness",Rare; metabolic imbalance,BCAA,5 g/day,Powder,Energy production.,L-Glutamine,5 g/day,Powder,Supports gut health to regulate levels,Meat,Plant-based proteins,None,N/A,N/A,None standard,N/A,N/A,Endurance exercise,Hydration,BCAA: rare allergy,Glutamine: GI,PubMed,
Antioxidants,CoQ10,male,CoQ10,µg/mL,0.5-1.5,1.0-1.2,Fatigue.,Rare; possible bleeding risk,Ubiquinol,200 mg/day,Reduced form,Mitochondrial energy production.,Omega-3,2 g/day,Fish oil,Enhances HDL function,Organ meats,Fatty fish,CoQ10 (Rx),100-200 mg/day,Capsule,None standard,N/A,N/A,Exercise,Hydration,Mild GI at high doses,Bleeding risk,RCT 2024 PubMed; PMC,
Bone Metabolism,Osteocalcin,male,Osteo,ng/mL,5-25,10-20,Bone loss.,Bone turnover issues,Vitamin K2,100-200 µg/day,MK7,Carboxylates osteocalcin for bone mineralization.,Vitamin D,2000 IU/day,Cholecalciferol,Regulates osteocalcin levels,Greens,Dairy,Bisphosphonates,Varies,Oral,Cinacalcet,30 mg/day,Oral,Weight-bearing exercise,Avoid excess caffeine,Vit K2: clotting risk,Vit D: hypercalcemia,PMC,
Bone Metabolism,PTH,male,PTH,pg/mL,10-65,20-50,Hypoparathyroidism.,Hyperparathyroidism.,Vitamin D,2000 IU/day,Cholecalciferol,Suppresses PTH via feedback.,Cinacalcet,30 mg/day,Oral,Calcimimetic lowering PTH.,Dairy,Low-calcium diet,Teriparatide,20 µg/day,Injectable,Cinacalcet,30-90 mg/day,Oral,Sun exposure,Avoid excess sodium,Vit D: hypercalcemia,Cinacalcet: hypocalcemia,PMC,
Growth Factors,IGF-1,male,IGF-1,ng/mL,50-250,150-200,Growth issues.,Acromegaly.,MK-677,10 mg/day,Oral,Stimulates GH release.,Vitamin D,2000 IU/day,Cholecalciferol,Regulates IGF-1 levels.,Protein-rich,Low-protein diet,GH,Physician-guided,Injectable,Octreotide,100 µg 3x/day,Injectable,Fasting,Balanced diet,MK-677: insulin rise,Vit D: hypercalcemia,2025 PubMed; PMC,
Growth Factors,IGFBP-3,male,IGFBP-3,mg/L,2-5,3-4,Growth retardation,Rare; increased cancer risk,Zinc,30 mg/day,Picolinate,Increases IGFBP-3 binding.,Vitamin D,2000 IU/day,Cholecalciferol,Modulates IGF system.,Oysters,Low-zinc diet,GH,Physician-guided,Injectable,None standard,N/A,N/A,Strength training,Avoid excess exercise,Zinc: nausea,Vit D: toxicity,PMC,
Growth Factors,GH,male,GH,ng/mL,<5,<2,Growth deficiency.,Acromegaly.,Arginine,5 g/day,L-arginine,Stimulates GH release.,Somatostatin analogs,Physician-guided,Injectable,Inhibits GH secretion.,Protein-rich,Low-carb diet,GH therapy,Physician-guided,Injectable,Octreotide,100 µg 3x/day,Injectable,"Sleep, fasting",Stress reduction,Arginine: GI,Somatostatin: GI,PMC,
Growth Factors,Leptin,male,Leptin,ng/mL,2-20,5-15,Hunger.,Obesity.,Fiber,25 g/day,Soluble fiber,Reduces leptin resistance.,Metformin,500-1000 mg/day,Oral,Lowers leptin levels.,Fruits,Low-fiber diet,None,N/A,N/A,Metformin,500-1000 mg/day,Oral,Exercise,Low-calorie diet,Fiber: bloating,Metformin: GI,PMC,
Growth Factors,Adiponectin,male,Adipo,µg/mL,5-30,10-20,Insulin resistance.,Rare; liver issues,Omega-3,2 g/day,Capsule,Increases adiponectin secretion.,Metformin,500-1000 mg/day,Oral,Improves insulin sensitivity,Fatty fish,Low-fat diet,None,N/A,N/A,Metformin,500-1000 mg/day,Oral,HIIT,Avoid sugars,Omega-3: bleeding,Metformin: GI,PMC,
Gut Health,Zonulin,male,Zon,ng/mL,<50,<30,Rare; possible undernutrition,Leaky gut.,L-Glutamine,5 g/day,Powder,Repairs intestinal tight junctions.,Probiotics,10-20 billion CFU/day,Multi-strain,Modulates gut barrier.,Gluten-free,Wheat,None standard,N/A,N/A,Larazotide acetate,Physician-guided,Oral,Fasting,Avoid processed foods,Glutamine: GI,Probiotics: bloating,PMC,
Hematology,Hemoglobin,male,Hb,g/dL,13.5-17.5,14.5-16.0,"Anemia: fatigue, dizziness.",Polycythemia: stroke risk.,Iron bisglycinate,25 mg/day + Vit C,Bisglycinate,Increases heme production.,Vitamin B12,1000 µg/day,Methylcobalamin,Supports RBC maturation.,Red meat,Low-iron diet,EPO,Physician-guided,Injectable,Phlebotomy,As needed,Procedure,Altitude training,Hydration,Iron: constipation,B12: acne,WHO guidelines PubMed,
Hematology,Hematocrit,male,Hct,%,40-50,42-48,Anemia.,Viscosity issues.,Iron,25 mg/day,Bisglycinate,Boosts RBC volume.,Folate,400 µg/day,5-MTHF,Enhances RBC production.,Spinach,Low-iron diet,EPO,Physician-guided,Injectable,Phlebotomy,As needed,Procedure,Exercise,Hydration,Iron: GI tox,Folate: mask B12 def,PMC,
Hematology,RBC,male,RBC,x10^6/µL,4.5-5.9,4.7-5.5,Anemia.,Polycythemia.,Vitamin B12,1000 µg/day,Methylcobalamin,Promotes erythropoiesis.,Folate,400 µg/day,5-MTHF,Supports DNA synthesis in RBCs.,Eggs,Low-iron diet,EPO,Physician-guided,Injectable,Phlebotomy,As needed,Procedure,Altitude training,Hydration,B12: rare,Folate: GI,PubMed,
Hematology,WBC,male,WBC,x10^3/µL,4-11,4-7,Immunosuppression.,Inflammation/leukemia.,Echinacea,300 mg/day,Extract,Stimulates white cell production.,Vitamin C,1000 mg/day,Ascorbic acid,Reduces oxidative stress on WBCs.,Garlic,Ginger,None standard,N/A,N/A,Antibiotics,Infection-specific,Oral/IV,Stress reduction,Healthy diet,Echinacea: allergic reactions,Vit C >2g: diarrhea,PMC,
Hematology,Platelet Count,male,Plt,x10^3/µL,150-450,180-350,Bleeding risk.,Thrombosis.,Omega-3,2 g/day,Capsule,Modulates platelet aggregation.,Vitamin K,100 µg/day,MK7,Supports clotting factor production.,Leafy greens,Low-vitamin K diet,None standard,N/A,N/A,Aspirin,81 mg/day,Oral tablet,Exercise,Avoid smoking,Omega-3: bleeding,Vit K: clotting risk,PubMed,
Hematology,MCV,male,MCV,fL,80-100,85-95,Microcytic anemia.,Macrocytic anemia.,Iron,25 mg/day,Bisglycinate,Corrects iron-def anemia.,Vitamin B12,1000 µg/day,Methylcobalamin,Fixes B12-def macrocytic anemia.,Red meat,Avoid alcohol,None standard,N/A,N/A,None standard,N/A,N/A,Iron-rich diet,Low-alcohol,Iron: constipation,B12: acne,PMC,
Hematology,MCH,male,MCH,pg,27-33,28-32,Anemia.,B12 deficiency.,Iron,25 mg/day,Bisglycinate,Increases hemoglobin content.,Folate,400 µg/day,5-MTHF,Supports hemoglobin synthesis.,Red meat,Avoid alcohol,None standard,N/A,N/A,None standard,N/A,N/A,Exercise,Balanced diet,Iron: GI,Folate: mask B12 def,PubMed,
Hematology,MCHC,male,MCHC,g/dL,32-36,33-35,Hypochromic anemia.,Spherocytosis.,Iron,25 mg/day,Bisglycinate,Improves hemoglobin concentration.,Vitamin B6,50 mg/day,P5P,Aids heme synthesis.,Red meat,Low-iron diet,None standard,N/A,N/A,None standard,N/A,N/A,Strength training,Hydration,Iron: toxicity,B6 >100 mg: neuropathy,PMC,
Hematology,RDW,male,RDW,%,11.5-14.5,11-13,"Anemia, nutritional deficiencies.",Chronic disease.,Multivitamin,Daily dose,Comprehensive,Addresses multiple nutrient defs.,Iron,25 mg/day,Bisglycinate,Corrects iron-def variation.,Balanced diet,Low-iron diet,None standard,N/A,N/A,None standard,N/A,N/A,Exercise,Healthy diet,Multivit: interactions,Iron: constipation,PubMed,
Hematology,Reticulocyte Count,male,Retic,%,0.5-1.5,0.8-1.2,Anemia recovery.,Hemolytic anemia.,Vitamin B12,1000 µg/day,Methylcobalamin,Stimulates reticulocyte production.,Folate,400 µg/day,5-MTHF,Enhances bone marrow response.,Eggs,Low-folate diet,EPO,Physician-guided,Injectable,None standard,N/A,N/A,Rest,Hydration,B12: rare,Folate: GI,PMC,
